is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	cleaned_retweet_text
1	SteveSGoddard	RT @SteveSGoddard: The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e		 The @nytimes was thrilled by Obama talking to Communist dictator Castro, and horrified by Trump talking to the elected l??e	the nytimes was thrilled by obama talking to communist dictator castro and horrified by trump talking to the elected le
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq		 Happy new year everyone. #newyear #family #vacation #familytime https://t.co/u9fJIKNoZq	happy new year everyone newyear family vacation familytime
1	VoteHillary2016	RT @VoteHillary2016: Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e		 Trump says Taiwain leader called him, though Taiwain paper says Trump staffer arranged call https://t.co/xfEIYifG5h ht??e	trump says taiwain leader called him though taiwain paper says trump staffer arranged call hte
1	NeonKnight1337	RT @NeonKnight1337: Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD		 Donald Trump's call with Taiwan president was no surprise: Official https://t.co/QNEeWwh7gH https://t.co/asxcCO0tZD	donald trumps call with taiwan president was no surprise official
1	gatewaypundit	RT @gatewaypundit: The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii		 The Trump Hotel Waikiki looks like a lovely resort @realDonaldTrump #Hawaii	the trump hotel waikiki looks like a lovely resort realdonaldtrump hawaii
1	TrumpInaugural	RT @TrumpInaugural: Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…		 Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…	counting down the days until the swearing in of realdonaldtrump amp mikepence check in here for the latest updates
1	FoxNewsSunday	"RT @FoxNewsSunday: Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"		" Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…"	"sunday our exclusive interview with presidentelect realdonaldtrump 
watch on foxnews at 2p10p et 
check your local"
1		"""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a RT for my hero.Love"	" ""@pellman11: @realDonaldTrump My mother has such a crush on you. She beat breast cancer this past year. Can I request a"	 for my hero.Love	for my herolove
1	jsavino16	"""@byron400: RT @jsavino16 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!"	" ""@byron400:"	 @realDonaldTrump played Trump national in Los Angeles yesterday. What an amazing place. THANKS!	played trump national in los angeles yesterday what an amazing place thanks
1	DanScavino	"RT @DanScavino: Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"		" Join #PEOTUS Trump &amp; #VPEOTUS Pence live in West Allis, Wisconsin! 
#ThankYouTour2016 #MAGA
https://t.co/vU5EPIYKUc https:/…"	"join peotus trump amp vpeotus pence live in west allis wisconsin 
thankyoutour2016"
