P(1) N(0) UNKNOWN(2),
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on FB
0,Story is not: Trump broke diplomatic norms by calling Taiwan.
,
0,Story is his motives are suspect. He's seeking to expand his
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0, I wonder how conservs will respond to Trump having just reversed a China/Taiwan policy put in place by Reagan &amp; honored??i
2,on #Periscope: Taiwan Look What The Trump Call Did #taiwan #trump https://t.co/JA9mEjoiY3
0,Trump takes a call from Taiwan....
,
2,Liberals...actually this is liberals all the time. https://t.co/UDA7cnjEZa
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0,"Donald Trump speaks with Taiwan's President, a move that threatens to trigger a diplomatic showdown with China"
0,China lodges complaint with US over Trump's Taiwan phone call https://t.co/ILKThlg900
2,Dear @china: 
,
0,The majority of Americans who did NOT vote for Trump are very sorry @ElectoralCollge is electing an offensive
0,Seriously the #Trump #Taiwan call could undo decades of work between two essential nations - pretty irresponsible regardless
1,Obama will not release info to congress on refugees deal and y'all worried about a congratulatory call from our ally Taiwan
0,"Trump's phone call with Taiwan raises conflict of interest questions, the @nytimes reports: https://t.co/QZOKnqOFUb htt??o"
0,Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
1,good take: trump is totally reckless for speaking to taiwan. he should know china doesn't consider it a country
0,"Ok now the President of Taiwan just called me and asked for tickets to Hairspray Live, fuck you Trump."
,
0,The Trump Taiwan fiasco proved every point ever made about the President-Elect's rhetoric: he's unfit on every level to run our country.
0,"Trump Org: ""we are not planning any expansion into Taiwan."" How abt this? Great find @mega2e https://t.co/zBLAHLeJmz htt??e"
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0,China plays into Trump's hands with Taiwan declaration.
,
0,China lodges complaint with US over Trump's Taiwan phone call https://t.co/3CdIzcbRXy
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0,"I feel pretty chill about the trump Taiwan call, nuclear war will affect everyone equally"
,
0,"Trump speaks directly with Taiwan's leader, irking China https://t.co/Vu1IV8kbKG #AP"
0,Trump is the first president to call Taiwan since 1979 and oh man are we fucked https://t.co/EFRZioOCyJ https://t.co/2UPccoeJJF
1,"I'll take President-Elect Trump's ""Thank you"" call from #Taiwan over Obama's ""I'm sorry, here's money"" call to Iran ANY"
0,Trump has now 1. worried India by saying he'd visit Pakistan 2.invited Duterte to DC 3. angered China by speaking w Taiwan
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
0,Trump's Taiwan phone call preceded by hotel development inquiry https://t.co/nqKTBVr3eK
0,"Chinese foreign minister calls phone call between Taiwan's president and Trump ""just a small trick by Taiwan"" https://t.co/??e"
2,President Obama and President-elect Trump on #Taiwan and #China. 
,
2,They could not be more different.  https://t.co/Xqk6hGiem??i
0,Oh maaaan-Trump camp denies plans to expand into Taiwan but a Trump employee posted all about a work trip there on FB
,
1,"Philip Bump: Trump's phone call with Taiwan is a ""break"" for U.S. https://t.co/kfTXaSsK0i https://t.co/3a9QbdLWsf"
0,RT @JuddLegum: Story is not: Trump broke diplomatic norms by calling Taiwan.
,
0,Story is his motives are suspect. He's seeking to expand his
0," ...or is it possible that, w/o a foreign policy team in place, Trump his folks didnt know massive ramifications of"
0,REVEALED: Trump Organization eyes Taiwan for newest luxury resort location https://t.co/RuaFG6YTub https://t.co/je0TE0LXbE
,
2,Donald Trump on defense after controversial Taiwan call https://t.co/wmyeVJHIMq https://t.co/kwUPGxFjlH
2,RT @ReutersUS: Taiwan says contact with Trump agreed ahead of time-presidential office https://t.co/Z4Xy7UybCb https://t.co/ZXN9OkY9mW
,
1,Did Trump even know Taiwan and PRC are separate?
1,China blames Taiwan for president's 'petty' phone call with Trump https://t.co/aa1F1h3SzA via @Reuters
0,"Trump lies abt arranging call w/ Taiwan,puts national security at risk by not using official communication channels, and "
1,"Hoaxing media says Trump isn't allowed to talk to Taiwan, but Obama can sell them $1.83 billion worth of weapons?"
,
1,Donald Trump angers China with historic phone call to Taiwan's President https://t.co/ldqtLuAuVN
,
0,Bull in a China shop: Trump risks diplomatic blowup in Asia https://t.co/20g8ephl4v
